question_id,related_question_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,relevance
Q1,Q1_R1,Q1_R1_C1,0.909,7,0.877,Good
Q1,Q1_R1,Q1_R1_C2,0.944,33,0.836,Bad
Q1,Q1_R1,Q1_R1_C3,0.938,102,0.9,Good
Q1,Q1_R1,Q1_R1_C4,1.0,36,0.742,Bad
Q1,Q1_R1,Q1_R1_C5,0.946,95,0.913,Good
Q1,Q1_R1,Q1_R1_C6,1.0,32,0.779,Bad
Q1,Q1_R1,Q1_R1_C7,1.0,19,0.881,Bad
Q1,Q1_R1,Q1_R1_C8,0.938,44,0.863,Bad
Q1,Q1_R1,Q1_R1_C9,0.95,26,0.868,Bad
Q1,Q1_R1,Q1_R1_C10,0.964,1,0.873,Bad
Q1,Q1_R6,Q1_R6_C1,0.879,127,0.914,Bad
Q1,Q1_R6,Q1_R6_C2,0.871,72,0.918,PotentiallyUseful
Q1,Q1_R6,Q1_R6_C3,0.902,179,0.809,Good
Q1,Q1_R6,Q1_R6_C4,0.924,98,0.925,Good
Q1,Q1_R6,Q1_R6_C5,0.881,30,0.957,Bad
Q1,Q1_R6,Q1_R6_C6,0.932,248,0.883,PotentiallyUseful
Q1,Q1_R6,Q1_R6_C7,0.898,220,0.927,Bad
Q1,Q1_R6,Q1_R6_C8,0.909,174,0.929,Bad
Q1,Q1_R6,Q1_R6_C9,0.927,200,0.943,Bad
Q1,Q1_R6,Q1_R6_C10,0.936,149,0.886,Good
Q1,Q1_R8,Q1_R8_C1,0.878,253,0.932,Good
Q1,Q1_R8,Q1_R8_C2,0.845,358,0.93,Bad
Q1,Q1_R8,Q1_R8_C3,0.855,303,0.934,Good
Q1,Q1_R8,Q1_R8_C4,0.827,137,0.963,PotentiallyUseful
Q1,Q1_R8,Q1_R8_C5,0.897,266,0.938,Bad
Q1,Q1_R8,Q1_R8_C6,0.901,169,0.916,Bad
Q1,Q1_R8,Q1_R8_C7,0.934,206,0.943,Bad
Q1,Q1_R8,Q1_R8_C8,0.87,211,0.953,Bad
Q1,Q1_R8,Q1_R8_C9,0.96,432,0.848,Bad
Q1,Q1_R8,Q1_R8_C10,0.889,277,0.935,Bad
Q1,Q1_R10,Q1_R10_C1,0.875,299,0.963,Good
Q1,Q1_R10,Q1_R10_C2,0.902,241,0.944,Good
Q1,Q1_R10,Q1_R10_C3,0.882,81,0.928,Good
Q1,Q1_R10,Q1_R10_C4,1.0,120,0.857,Good
Q1,Q1_R10,Q1_R10_C5,0.887,128,0.96,Good
Q1,Q1_R10,Q1_R10_C6,0.904,862,0.957,Good
Q1,Q1_R10,Q1_R10_C7,0.881,139,0.949,Bad
Q1,Q1_R10,Q1_R10_C8,0.878,60,0.948,Bad
Q1,Q1_R10,Q1_R10_C9,0.979,136,0.847,PotentiallyUseful
Q1,Q1_R10,Q1_R10_C10,0.974,175,0.807,Bad
Q1,Q1_R22,Q1_R22_C1,1.0,13,0.537,Good
Q1,Q1_R22,Q1_R22_C2,1.0,6,0.541,Good
Q1,Q1_R22,Q1_R22_C3,1.0,17,0.733,Good
Q1,Q1_R22,Q1_R22_C4,1.0,4,0.669,Good
Q1,Q1_R22,Q1_R22_C5,1.0,12,0.703,Good
Q1,Q1_R22,Q1_R22_C6,1.0,9,0.727,Good
Q1,Q1_R22,Q1_R22_C7,1.0,17,0.733,Good
Q1,Q1_R22,Q1_R22_C8,1.0,19,0.467,Good
Q1,Q1_R22,Q1_R22_C9,1.0,1,0.701,Good
Q1,Q1_R22,Q1_R22_C10,1.0,116,0.852,Good
Q1,Q1_R25,Q1_R25_C1,0.9,1,0.879,Bad
Q1,Q1_R25,Q1_R25_C2,0.941,46,0.852,Good
Q1,Q1_R25,Q1_R25_C3,0.938,292,0.806,Good
Q1,Q1_R25,Q1_R25_C4,0.949,20,0.762,Bad
Q1,Q1_R25,Q1_R25_C5,1.0,137,0.741,Bad
Q1,Q1_R25,Q1_R25_C6,0.88,22,0.834,Bad
Q1,Q1_R25,Q1_R25_C7,0.974,20,0.766,Bad
Q1,Q1_R25,Q1_R25_C8,1.0,127,0.649,Bad
Q1,Q1_R25,Q1_R25_C9,0.964,79,0.78,Bad
Q1,Q1_R25,Q1_R25_C10,0.94,430,0.73,Good
Q1,Q1_R27,Q1_R27_C1,1.0,113,0.824,Good
Q1,Q1_R27,Q1_R27_C2,0.952,597,0.906,Good
Q1,Q1_R27,Q1_R27_C3,0.981,239,0.913,Bad
Q1,Q1_R27,Q1_R27_C4,1.0,21,0.836,Bad
Q1,Q1_R27,Q1_R27_C5,1.0,18,0.787,Bad
Q1,Q1_R27,Q1_R27_C6,0.976,167,0.888,Bad
Q1,Q1_R27,Q1_R27_C7,0.963,145,0.762,Bad
Q1,Q1_R27,Q1_R27_C8,0.959,179,0.906,Bad
Q1,Q1_R27,Q1_R27_C9,0.978,200,0.895,Bad
Q1,Q1_R27,Q1_R27_C10,0.951,184,0.896,Bad
Q1,Q1_R32,Q1_R32_C1,0.903,121,0.721,Good
Q1,Q1_R32,Q1_R32_C2,0.929,144,0.712,Bad
Q1,Q1_R32,Q1_R32_C3,0.905,80,0.895,Good
Q1,Q1_R32,Q1_R32_C4,0.969,135,0.836,Bad
Q1,Q1_R32,Q1_R32_C5,0.982,97,0.858,Bad
Q1,Q1_R32,Q1_R32_C6,0.981,45,0.858,Bad
Q1,Q1_R32,Q1_R32_C7,1.0,145,0.701,PotentiallyUseful
Q1,Q1_R32,Q1_R32_C8,0.977,7,0.798,Good
Q1,Q1_R32,Q1_R32_C9,0.977,85,0.897,Bad
Q1,Q1_R32,Q1_R32_C10,1.0,6,0.816,Good
Q1,Q1_R43,Q1_R43_C1,1.0,319,0.614,Good
Q1,Q1_R43,Q1_R43_C2,0.877,1,0.951,Bad
Q1,Q1_R43,Q1_R43_C3,0.943,75,0.912,Good
Q1,Q1_R43,Q1_R43_C4,0.9,157,0.961,Good
Q1,Q1_R43,Q1_R43_C5,0.913,174,0.962,Good
Q1,Q1_R43,Q1_R43_C6,0.984,183,0.904,Good
Q1,Q1_R43,Q1_R43_C7,0.938,56,0.955,Bad
Q1,Q1_R43,Q1_R43_C8,0.94,9,0.936,Good
Q1,Q1_R43,Q1_R43_C9,0.896,279,0.966,Bad
Q1,Q1_R43,Q1_R43_C10,0.908,83,0.96,Good
Q1,Q1_R46,Q1_R46_C1,0.957,189,0.837,Bad
Q1,Q1_R46,Q1_R46_C2,0.869,41,0.93,PotentiallyUseful
Q1,Q1_R46,Q1_R46_C3,0.983,73,0.871,Good
Q1,Q1_R46,Q1_R46_C4,0.907,110,0.879,Bad
Q1,Q1_R46,Q1_R46_C5,0.893,99,0.952,PotentiallyUseful
Q1,Q1_R46,Q1_R46_C6,0.977,195,0.718,Bad
Q1,Q1_R46,Q1_R46_C7,0.912,1,0.978,Bad
Q1,Q1_R46,Q1_R46_C8,0.96,168,0.869,Bad
Q1,Q1_R46,Q1_R46_C9,0.939,169,0.852,Bad
Q1,Q1_R46,Q1_R46_C10,1.0,193,0.592,Bad
